Space group: I4_1/amd
Found 5 high-symmetry points:
  GM: k=(0.0, 0.0, 0.0)
  M: k=(0.5000000000000001, 0.5000000000000001, 0.4999999999999999)
  N: k=(5.551115123125783e-17, 0.5, -5.551115123125783e-17)
  P: k=(0.25000000000000006, 0.25000000000000006, 0.24999999999999994)
  X: k=(0.0, 0.0, 0.5)

# GM point (Primitive coordinates)
# k_prim = [0.0000, 0.0000, 0.0000]
# k_BCS  = [0.0000, 0.0000, 0.0000]  (BCS label: GM)
============================================================
# band  freq(THz)  freq(cm-1)     label(M)   label(BCS)  IR  Raman  OPD(BCS)        OPD(prim)       Daughter SG          Chiral  
    48     9.4733      315.99            -           M3  .     .    (a, 0)          (a, 0)          P4_322(#95)          II-pair 
    49     9.4733      315.99            -           M3  .     .    (0, a)          (0, a)          P4_122(#91)          II-pair 
    50     9.5561      318.76            -           M4  .     .    (a, 0)          (a, 0)          P4_32_12(#96)        II-pair 
    51     9.5561      318.76            -           M4  .     .    (0, a)          (0, a)          P4_12_12(#92)        II-pair 
    52     9.5761      319.42            -           M2  .     .    (a, 0)          (a, 0)          Pnn2(#34)            -       
    53     9.5761      319.42            -           M2  .     .    (a, -a)         (0, a)          Pnn2(#34)            -       
    54     9.8412      328.27            -           M1  .     .    (a, 0)          (a, 0)          Pmm2(#25)            -       
    55     9.8412      328.27            -           M1  .     .    (a, -a)         (0, a)          Pmm2(#25)            -       
    56    10.0475      335.15            -           M1  .     .    (a, 0)          (a, 0)          Pmm2(#25)            -       
    57    10.0475      335.15            -           M1  .     .    (a, -a)         (0, a)          Pmm2(#25)            -       
    58    10.7136      357.37            -           M2  .     .    (a, 0)          (a, 0)          Pnn2(#34)            -       
    59    10.7136      357.37            -           M2  .     .    (a, -a)         (0, a)          Pnn2(#34)            -       
    60    10.7484      358.53            -           M2  .     .    (a, 0)          (a, 0)          Pnn2(#34)            -       
    61    10.7484      358.53            -           M2  .     .    (a, -a)         (0, a)          Pnn2(#34)            -       
    62    10.8196      360.90            -           M4  .     .    (a, 0)          (a, 0)          P4_32_12(#96)        II-pair 
    63    10.8196      360.90            -           M4  .     .    (0, a)          (0, a)          P4_12_12(#92)        II-pair 
    64    11.2768      376.15            -           M3  .     .    (a, 0)          (a, 0)          P4_122(#91)          II-pair 
    65    11.2768      376.15            -           M3  .     .    (0, a)          (0, a)          P4_322(#95)          II-pair 
    66    11.6796      389.59            -           M4  .     .    (a, 0)          (a, 0)          P4_32_12(#96)        II-pair 
    67    11.6796      389.59            -           M4  .     .    (0, a)          (0, a)          P4_12_12(#92)        II-pair 
    68    12.0509      401.98            -           M2  .     .    (a, 0)          (a, 0)          Pnn2(#34)            -       
    69    12.0509      401.98            -           M2  .     .    (a, -a)         (0, a)          Pnn2(#34)            -       
    70    12.3507      411.97            -           M4  .     .    (a, 0)          (a, 0)          P4_32_12(#96)        II-pair 
    71    12.3507      411.97            -           M4  .     .    (0, a)          (0, a)          P4_12_12(#92)        II-pair 
    72    12.4639      415.75            -           M1  .     .    (a, 0)          (a, 0)          Pmm2(#25)            -       
    73    12.4639      415.75            -           M1  .     .    (a, -a)         (0, a)          Pmm2(#25)            -       
    74    13.0001      433.64            -           M1  .     .    (a, 0)          (a, 0)          Pmm2(#25)            -       
    75    13.0001      433.64            -           M1  .     .    (a, -a)         (0, a)          Pmm2(#25)            -       
    76    13.2543      442.12            -           M3  .     .    (a, 0)          (a, 0)          P4_122(#91)          II-pair 
    77    13.2543      442.12            -           M3  .     .    (0, a)          (0, a)          P4_322(#95)          II-pair 
    78    13.3672      445.88            -           M1  .     .    (a, 0)          (a, 0)          Pmm2(#25)            -       
    79    13.3672      445.88            -           M1  .     .    (a, -a)         (0, a)          Pmm2(#25)            -       
    80    14.4318      481.39            -           M1  .     .    (a, 0)          (a, 0)          Pmm2(#25)            -       
    81    14.4318      481.39            -           M1  .     .    (a, -a)         (0, a)          Pmm2(#25)            -       
    82    15.6862      523.24            -           M3  .     .    (a, 0)          (a, 0)          P4_322(#95)          II-pair 
    83    15.6862      523.24            -           M3  .     .    (0, a)          (0, a)          P4_122(#91)          II-pair 
    84    16.6104      554.06            -           M1  .     .    (a, 0)          (a, 0)          Pmm2(#25)            -       
    85    16.6104      554.06            -           M1  .     .    (a, -a)         (0, a)          Pmm2(#25)            -       
    86    17.3641      579.21            -           M4  .     .    (a, 0)          (a, 0)          P2_12_12_1(#19)      III     
    87    17.3641      579.21            -           M4  .     .    (0, a)          (0, a)          P2_12_12_1(#19)      III     
    88    17.7542      592.22            -           M3  .     .    (a, 0)          (a, 0)          P4_322(#95)          II-pair 
    89    17.7542      592.22            -           M3  .     .    (0, a)          (0, a)          P4_122(#91)          II-pair 
    90    18.1473      605.33            -           M2  .     .    (a, 0)          (a, 0)          Pnn2(#34)            -       
    91    18.1473      605.33            -           M2  .     .    (a, -a)         (0, a)          Pnn2(#34)            -       
    92    20.3150      677.64            -           M4  .     .    (a, 0)          (a, 0)          P2_12_12_1(#19)      III     
    93    20.3150      677.64            -           M4  .     .    (0, a)          (0, a)          P2_12_12_1(#19)      III     
    94    22.0473      735.42            -           M2  .     .    (a, 0)          (a, 0)          Pnn2(#34)            -       
    95    22.0473      735.42            -           M2  .     .    (a, -a)         (0, a)          Pnn2(#34)            -       
    96    22.7526      758.94            -           M3  .     .    (a, 0)          (a, 0)          P222_1(#17)          III     
    97    22.7526      758.94            -           M3  .     .    (0, a)          (0, a)          P222_1(#17)          III     
    98    22.7774      759.77            -           M4  .     .    (a, 0)          (a, 0)          P4_12_12(#92)        II-pair 
    99    22.7774      759.77            -           M4  .     .    (0, a)          (0, a)          P4_32_12(#96)        II-pair 
   100    22.9033      763.97            -           M1  .     .    (a, 0)          (a, 0)          Pmm2(#25)            -       
   101    22.9033      763.97            -           M1  .     .    (a, -a)         (0, a)          Pmm2(#25)            -       
   102    23.1406      771.89            -           M3  .     .    (a, 0)          (a, 0)          P4_122(#91)          II-pair 
   103    23.1406      771.89            -           M3  .     .    (0, a)          (0, a)          P222_1(#17)          III     
   104    23.5124      784.29            -           M1  .     .    (a, 0)          (a, 0)          Pmm2(#25)            -       
   105    23.5124      784.29            -           M1  .     .    (a, -a)         (0, a)          Pmm2(#25)            -       
   106    23.5316      784.93            -           M3  .     .    (a, 0)          (a, 0)          P4_122(#91)          II-pair 
