Space group: I4_1/acd
Found 5 high-symmetry points:
  GM: k=(0.0, 0.0, 0.0)
  M: k=(0.5, 0.5, 0.5)
  N: k=(0.0, 0.5, 0.0)
  P: k=(0.25, 0.25, 0.25)
  X: k=(0.0, 0.0, 0.5)

# GM point (Primitive coordinates)
# k_prim = [0.0000, 0.0000, 0.0000]
# k_BCS  = [0.0000, 0.0000, 0.0000]  (BCS label: GM)
============================================================
# band  freq(THz)  freq(cm-1)     label(M)   label(BCS)  IR  Raman  OPD(BCS)        OPD(prim)       Daughter SG          Chiral  
    41     5.9948      199.96            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    42     6.3033      210.26            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    43     6.3033      210.26            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    44     6.8572      228.73            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    45     6.8572      228.73            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    46     6.9436      231.61            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    47     6.9436      231.61            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    48     7.1013      236.87            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    49     7.1013      236.87            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    50     7.4686      249.13            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    51     7.4686      249.13            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    52     7.5711      252.55            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    53     7.5711      252.55            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    54     7.6858      256.37            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    55     7.6858      256.37            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    56     9.8526      328.65            -           N1  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    57     9.8526      328.65            -           N1  .     .    (a, b)          (0, a)          P1(#1)               III     
    58    10.0008      333.59            -           N1  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    59    10.0008      333.59            -           N1  .     .    (a, b)          (0, a)          P1(#1)               III     
    60    10.9155      364.10            -           N1  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    61    10.9155      364.10            -           N1  .     .    (a, b)          (0, a)          P1(#1)               III     
    62    10.9328      364.68            -           N1  .     .    (a, 0)          (a, 0)          P1(#1)               III     
    63    10.9328      364.68            -           N1  .     .    (a, b)          (0, a)          P1(#1)               III     
    64    11.1678      372.52            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    65    11.1678      372.52            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    66    11.7502      391.94            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    67    11.7502      391.94            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    68    14.5593      485.65            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    69    14.5593      485.65            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    70    15.3123      510.76            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    71    15.3123      510.76            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    72    15.6618      522.42            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    73    15.6618      522.42            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    74    16.4121      547.45            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    75    16.4121      547.45            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    76    17.7224      591.16            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    77    17.7224      591.16            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    78    18.0880      603.35            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    79    18.0880      603.35            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    80    22.8820      763.26            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    81    22.8820      763.26            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     
    82    22.9088      764.15            -           N1  .     .    (a, 0)          (a, 0)          C2(#5)               III     
    83    22.9088      764.15            -           N1  .     .    (a, b)          (0, a)          C2(#5)               III     

# P point (Primitive coordinates)
# k_prim = [0.2500, 0.2500, 0.2500]
# k_BCS  = [0.5000, 0.5000, 0.5000]  (BCS label: P)
============================================================
# band  freq(THz)  freq(cm-1)     label(M)   label(BCS)  IR  Raman  OPD(BCS)        OPD(prim)       Daughter SG          Chiral  
     0     2.2396       74.70            -        P1+P2  .     .    (a, 0, 0, 0)    (a, 0)          I-4(#82)             -       
     1     2.2396       74.70            -        P1+P2  .     .    (a, 0, 0, 0)    (0, a)          I-4(#82)             -       
     2     2.2396       74.70            -        P1+P2  .     .    (0, a, 0, 0)    (a, 0)          I-4(#82)             -       
     3     2.2396       74.70            -        P1+P2  .     .    (0, 0, a, 0)    (0, a)          I-4(#82)             -       
